code,name,address,city,state,postalCode,phone,fax,email,category,locationtype
3230,NATION S.A.,Belgrano 2663/77,Santa Fé,SANTA FE,3000,0342-4560065,0342-4534040,info@nation.com.ar,Integral,Principal
3230,NATION S.A.,Juan del Campillo esquina Pedro Seguí,Paraná,ENTRE RIOS,3100,0343-4342030,-,info@nation.com.ar,Excl. Post Venta,Secundaria
3230,NATION S.A.,Bv. Roca 649,Rafaela,SANTA FE,2300,03492-578882 / 83 / 84,-,info@nation.com.ar,Integral,Secundaria
3238,PROST S.A.,Av.Eva Perón (ex Córdoba) 4199 esq.Río de Janeiro 801,Rosario,SANTA FE,2000,0341-4352002,0341-4352002,ventas@prostsa.com.ar,Excl. Ventas,Principal
3238,PROST S.A.,Río de Janeiro 770,Rosario,SANTA FE,2000,0341-4352002,0341-4352002,prost@datafull.com,Excl. Post Venta,Principal
3251,AUTOSUR S.A.,Av.12 de Octubre 1276 (ruta 8),Venado Tuerto,SANTA FE,2600,03462-439239,03462-439444,autosursavenado@arnet.com.ar,Integral,Secundaria
3251,AUTOSUR S.A.,Ovidio Lagos 1063,Casilda,SANTA FE,2170,03464-424043,03464-424043,autosurventas@arnet.com.ar,Integral,Principal
3303,LE MANS AUTOMOTORES S.A.,Av. Belgrano Sur 1385,Santiago del Estero,STGO. DEL ESTERO,4200,0385-4217943,0385-4222413,lemansadministracion@arnetbiz.com.ar,Integral,Principal
3402,INDIANA S.A.C.I.F.I.,Italia 2945,Tucumán ,TUCUMAN,4001,0381-4347700 / 4851970 / 4851997,-,indiana@indiana.com.ar,Excl. Post Venta,Secundaria
3402,INDIANA S.A.C.I.F.I.,Shipton esq. Rivadavia,Concepción de Tucumán,TUCUMAN,4146,03865-426200,-,indiana@indiana.com.ar,Excl. Ventas,Secundaria
3402,INDIANA S.A.C.I.F.I.,Salta 160,Tucumán ,TUCUMAN,4000,0381-4212000,0381-4300738,indiana@indiana.com.ar,Excl. Ventas,Principal
3500,AUPE S.A. (SUC. ROSARIO),Av. San Martín 2756 esq.Virasoro,Rosario,SANTA FE,2000,0341-4856000,0341-4856544,aupesa.rosario@mpsa.com,Integral,Principal
3500,AUPE S.A. (SUC. ROSARIO),Irigoyen 885 y Ruta 9,Cañada de Gómez,SANTA FE,2500,03471-428896,0341-4856544,aupesa.rosario@mpsa.com,Integral,Secundaria
3505,EXPO AUTO S.A.,Av.San Martín 1587,Rio Grande,TIERRA DEL FUEGO,9420,02964-430240,02964-430240,info@expogroup.com.ar,Integral,Secundaria
3505,EXPO AUTO S.A.,Gobernador Deloqui 1163 y Belgrano,Ushuaia,TIERRA DEL FUEGO,9410,02901-421000,02901-431762,info@expogroup.com.ar,Integral,Principal
3510,AUPE S.A. (SUC. CORDOBA),Av.Castro Barros 1155,Córdoba,CORDOBA,5008,0351-4409000,0351-4409000,aupesa.cordoba@mpsa.com,Integral,Principal
3510,AUPE S.A. (SUC. CORDOBA),"Pedro J. Frias (Norte) 15, Esquina Bv. Agüero",Jesus María,CORDOBA,5220,03525-425594 / 424184,-,aupesa.cordoba@mpsa.com,Excl. Ventas,Secundaria
3520,AUPE S.A. (SUC. Buenos Aires),Agrelo 4050,Almagro,Ciudad Autónoma de Bs. As.,1224,4303-3400,4303-3400,aupesa.buenosaires@mpsa.com,Excl. Post Venta,Secundaria
3520,AUPE S.A. (SUC. Buenos Aires),Av. Independencia 2838,Almagro,Ciudad Autónoma de Bs. As.,1225,4932-9555,4932-9555,aupesa.buenosaires@mpsa.com,Excl. Ventas,Secundaria
3520,AUPE S.A. (SUC. Buenos Aires),Av. Independencia 2838,Almagro,Ciudad Autónoma de Bs. As.,1225,4932-9555,4932-9555,aupesa.buenosaires@mpsa.com,Selección del León,Secundaria
3520,AUPE S.A. (SUC. Buenos Aires),Ituzaingó 555,Ciudad Autónoma de Bs. As.,Ciudad Autónoma de Bs. As.,1141,4303-3400,4303-3400,aupesa.buenosaires@mpsa.com,Excl. Post Venta,Secundaria
3520,AUPE S.A. (SUC. Buenos Aires),Montes de Oca 1102,Barracas,Ciudad Autónoma de Bs. As.,1270,4303-3400,4303-3400,aupesa.buenosaires@mpsa.com,Excl. Ventas,Principal
3520,AUPE S.A. (SUC. Buenos Aires),Alicia Moreau de Justo 152,Ciudad Autónoma de Bs. As.,Ciudad Autónoma de Bs. As.,1107,4314-4904 / 4314-7706,-,aupesa.buenosaires@mpsa.com,Excl. Ventas,Secundaria
